	f_pHep_m_ConvR_1	f_pHep_m_ConvR_2	f_pHep_m_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_ConvR_2	f_pHep_f_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_GF_serum_2	f_pHep_f_GF_serum_3	f_pHep_f_GF_serum__GH_1	f_pHep_f_GF_serum_GH_2	f_pHep_f_GF_serum_GH_3	m_pHep_m_ConvR_1	m_pHep_m_ConvR_2	m_pHep_m_ConvR_3
ENSMUSG00000083553|Gm11989	6	3	0	5	4	6	1	3	2	8	4	1	0	0	0
ENSMUSG00000083554|Gm6645	24	23	21	11	24	25	19	19	37	17	39	18	17	27	16
ENSMUSG00000083555|Gm12035	1	0	0	1	0	0	0	1	1	2	0	0	1	0	0
ENSMUSG00000083556|Gm9043	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083557|Gm6877	187	159	202	183	223	239	181	177	179	178	198	242	160	165	189
ENSMUSG00000083558|Gm12896	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1
ENSMUSG00000083560|Gm14939	2	0	5	4	5	1	4	7	5	9	4	1	3	5	3
ENSMUSG00000083561|Gm5942	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083562|Gm13234	13	12	2	8	12	3	8	3	7	9	6	13	8	10	7
ENSMUSG00000083563|Gm13340	700	841	315	354	400	434	366	285	489	375	331	459	685	861	549
ENSMUSG00000083564|Gm11929	0	0	1	0	0	0	2	0	0	1	1	0	1	0	0
ENSMUSG00000083565|Gm11941	1	4	1	0	0	0	4	0	0	0	2	3	1	0	0
ENSMUSG00000083566|Gm14711	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSMUSG00000083567|Gm11451	171	175	188	222	266	257	188	188	172	267	196	275	129	119	147
ENSMUSG00000083568|Gm12770	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083569|Gm13666	11	6	3	1	4	5	8	8	9	13	6	10	8	11	2
ENSMUSG00000083570|Gm14671	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000083572|Gm11849	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000083573|Gm7312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083574|Gm15709	0	0	0	0	0	2	1	0	4	3	1	0	1	0	3
ENSMUSG00000083575|Gm12533	0	0	5	0	0	0	1	1	0	0	0	0	1	0	0
ENSMUSG00000083576|Gm16411	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
ENSMUSG00000083577|Gm12432	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083578|Gm11247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083579|Gm15538	12	15	18	9	13	21	13	10	12	13	13	8	7	4	14
ENSMUSG00000083580|Rpsa-ps3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
ENSMUSG00000083581|Gm14186	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0
ENSMUSG00000083582|Gm15393	0	4	1	2	2	1	3	0	5	3	1	1	1	0	3
ENSMUSG00000083584|Gm15394	0	1	2	1	2	1	3	0	4	3	1	1	0	1	0
ENSMUSG00000083585|Gm15885	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0
ENSMUSG00000083586|Gm8688	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083587|Gm14741	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083588|Gm8051	0	0	1	1	0	0	2	0	0	0	0	2	0	0	0
ENSMUSG00000083589|Gm14043	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0
ENSMUSG00000083590|Gm13916	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ENSMUSG00000083592|Gm13614	23	16	24	17	21	11	30	22	18	40	34	23	10	20	16
ENSMUSG00000083594|Gm13722	1	3	3	0	3	0	1	3	5	0	1	0	0	0	1
ENSMUSG00000083595|Gm9200	9	3	3	6	8	2	7	6	4	9	8	15	3	7	3
ENSMUSG00000083596|Rpl21-ps15	7	16	12	11	14	6	0	5	5	8	10	11	3	6	4
ENSMUSG00000083597|Gm14805	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000083598|Gm14579	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000083599|Gm12821	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0
ENSMUSG00000083601|Gm12028	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0
ENSMUSG00000083602|Gm14911	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0
ENSMUSG00000083603|Gm14810	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000083605|Gm14893	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083606|Gm15916	48	19	17	20	21	10	8	17	11	36	23	14	18	22	17
ENSMUSG00000083607|Gm12640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083608|Gm14863	7	3	5	4	0	1	1	3	5	2	3	3	1	4	5
ENSMUSG00000083609|Gm16007	4	1	1	9	0	2	0	1	0	1	2	5	2	3	0
ENSMUSG00000083610|Oaz2-ps	23	24	34	33	35	18	30	22	20	32	38	49	31	18	18
ENSMUSG00000083611|Gm8832	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083613|Pou2f3-rs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083614|Gm12795	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083615|Gm12878	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083616|H2afb3-ps	3	4	2	3	0	2	1	5	2	1	1	1	0	1	1
ENSMUSG00000083617|Gm5390	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000083618|Gm11771	0	0	2	0	0	1	0	0	1	0	3	2	0	3	0
ENSMUSG00000083619|Gm14414	24	17	14	24	17	20	22	19	24	16	21	25	11	14	15
ENSMUSG00000083620|Gm15529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083621|Gm14586	6156	5444	6463	6374	7285	8050	5847	6520	6627	7304	6917	8173	5037	5239	5956
ENSMUSG00000083622|Gm15570	0	1	3	0	0	0	2	4	1	2	1	0	0	1	0
ENSMUSG00000083623|Gm7224	27	38	32	45	22	41	29	34	33	49	49	23	30	39	28
ENSMUSG00000083624|Gm12469	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000083625|Gm15188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083626|Gm4459	251	192	278	348	363	360	275	302	281	357	316	395	219	229	255
ENSMUSG00000083627|Gm12502	10	10	8	10	15	14	9	9	5	18	14	12	9	14	9
ENSMUSG00000083628|Gm2030	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000083629|Gm11262	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
ENSMUSG00000083630|Gm15602	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0
ENSMUSG00000083631|Gm13366	1	2	0	0	0	0	1	0	2	2	1	0	0	0	0
ENSMUSG00000083632|Gm11786	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1
ENSMUSG00000083633|Gm13312	0	3	0	0	0	1	0	0	1	0	3	1	0	3	0
ENSMUSG00000083635|Gm11480	0	0	1	0	1	0	0	0	0	2	0	0	3	1	3
ENSMUSG00000083636|Gm15175	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000083637|Gm14754	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000083640|Gm8876	0	3	1	0	2	0	0	0	0	0	4	1	3	3	2
ENSMUSG00000083641|Gm9225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083642|Gm13148	3	3	5	4	2	1	4	1	14	3	8	5	0	4	3
ENSMUSG00000083643|Gm13876	0	0	0	2	0	0	0	3	1	1	1	3	1	0	3
ENSMUSG00000083644|Gm12787	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
ENSMUSG00000083645|Gm14086	3	8	2	6	2	2	5	2	2	1	10	1	0	2	4
ENSMUSG00000083646|Gm6088	17	11	16	8	9	13	9	6	14	13	19	19	7	12	2
ENSMUSG00000083648|Gm14229	2	0	1	0	1	0	0	1	0	2	1	1	3	0	0
ENSMUSG00000083649|Rasl2-9	3	10	5	12	18	7	5	12	5	7	3	8	3	3	17
ENSMUSG00000083650|Gm13357	175	168	179	174	227	195	184	222	157	239	197	223	139	150	139
ENSMUSG00000083651|Gm11524	1	2	2	2	0	0	0	2	2	1	0	1	0	4	0
ENSMUSG00000083653|Gm11384	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000083654|Gm11875	0	0	0	0	0	1	0	3	0	1	1	0	0	2	0
ENSMUSG00000083655|Gm12099	0	6	4	1	4	2	3	0	2	2	2	0	2	3	0
ENSMUSG00000083657|Gm12245	0	0	2	2	1	0	2	1	0	2	3	0	0	3	1
ENSMUSG00000083658|Gm15798	3	5	1	1	1	1	0	3	1	1	0	1	0	0	0
ENSMUSG00000083659|Gm11258	9	19	2	5	8	5	2	5	16	4	5	9	8	9	3
ENSMUSG00000083660|Gm11853	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0
ENSMUSG00000083661|Gm11473	1	0	0	0	2	0	3	0	1	1	0	1	2	0	1
ENSMUSG00000083662|Gm12152	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1
ENSMUSG00000083663|Gm14903	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083664|Gm11433	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0
ENSMUSG00000083665|Gm14575	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
ENSMUSG00000083666|Gm12358	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0
ENSMUSG00000083667|Gm11334	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083668|Gm5648	2	0	3	3	0	3	6	2	1	6	5	4	7	0	6
ENSMUSG00000083669|Gm10169	1618	1562	1424	1495	2134	1776	1427	1434	1478	1716	1454	1930	1620	1688	1559
ENSMUSG00000083670|Gm6829	120	128	140	182	207	193	131	139	113	189	189	181	127	177	107
ENSMUSG00000083671|Gm14304	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083672|Gm9183	0	2	2	11	13	6	7	7	6	7	5	8	4	3	0
ENSMUSG00000083673|Vmn1r-ps111	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000083674|Zfp133-ps	8	15	19	23	37	27	21	18	15	31	19	20	9	12	6
ENSMUSG00000083676|Gm11367	3	5	0	3	2	0	5	0	1	1	0	1	3	2	2
ENSMUSG00000083677|Gm11699	4	2	1	0	0	0	0	0	0	4	0	2	0	3	1
ENSMUSG00000083678|Gm12989	313	332	343	274	386	395	252	349	329	384	324	398	386	462	390
ENSMUSG00000083679|Gm12892	0	2	2	0	1	0	0	0	1	0	0	0	0	2	0
ENSMUSG00000083680|Gm9119	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000083681|Gm6640	13	5	7	2	1	0	5	5	3	4	0	5	2	2	2
ENSMUSG00000083682|Pcna-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083683|Gm6539	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083684|Gm14034	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1
ENSMUSG00000083685|Gm12412	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
ENSMUSG00000083686|Gm13504	8	10	0	0	3	0	0	3	3	3	1	1	1	1	1
ENSMUSG00000083687|Gm15154	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000083688|Gm13743	8	6	4	7	16	12	9	15	6	11	8	14	12	6	3
ENSMUSG00000083689|Gm14094	0	1	1	1	1	1	0	1	1	1	0	3	0	0	0
ENSMUSG00000083691|Gm14465	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083692|Gm9575	114	137	106	75	95	76	92	93	101	94	129	110	63	118	88
ENSMUSG00000083693|Gm11971	0	0	0	4	3	2	1	4	4	1	0	0	1	1	0
ENSMUSG00000083695|1700045I19Rik	4	1	0	0	0	2	1	0	0	0	0	0	0	0	0
ENSMUSG00000083696|Gm12563	53	38	43	39	53	34	48	51	47	63	41	61	38	33	32
ENSMUSG00000083697|Gm13914	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
ENSMUSG00000083698|Gm12687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083699|Gm14932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083700|Gm2986	1	4	2	4	0	2	2	5	1	7	10	5	3	2	4
ENSMUSG00000083701|Gm4912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083702|Gm14428	2	4	3	1	2	1	0	1	4	7	3	4	1	3	2
ENSMUSG00000083704|Gm13153	196	148	105	152	156	129	188	210	138	169	177	180	63	71	50
ENSMUSG00000083705|Gm8624	4	5	0	0	1	2	3	2	5	1	0	1	1	1	0
ENSMUSG00000083706|Olfr1117-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083707|Gm13592	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1
ENSMUSG00000083708|Gm13123	18	19	29	25	27	34	17	25	16	32	17	38	18	26	27
ENSMUSG00000083709|Gm14688	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083710|Gm15078	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083711|Gm3931	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083713|Gm5883	2	2	0	0	0	0	0	3	1	1	0	0	0	1	2
ENSMUSG00000083714|Gm14499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083715|Gm14202	2	2	0	0	0	1	0	1	0	1	2	4	0	0	0
ENSMUSG00000083716|Gm13436	3205	2961	2693	2623	3003	3094	2521	2672	2712	2938	2815	3411	2201	2171	2208
ENSMUSG00000083717|Gm13865	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000083718|Ccnb2-ps	3	4	4	3	0	4	8	1	6	1	1	4	1	3	1
ENSMUSG00000083719|Gm15161	1	0	0	0	3	1	4	3	0	2	4	1	1	0	0
ENSMUSG00000083720|Gm12901	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0
ENSMUSG00000083721|Gm7700	0	0	1	1	0	0	2	0	1	0	0	0	0	3	0
ENSMUSG00000083722|Gpr144	0	3	0	0	0	1	2	0	0	2	1	0	0	0	3
ENSMUSG00000083723|Gm11671	5	0	0	0	0	0	0	1	1	1	0	4	0	1	0
ENSMUSG00000083725|Gm11865	25	25	30	26	46	43	28	27	15	30	24	31	31	24	16
ENSMUSG00000083727|Gm11887	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083728|Gm13854	1	0	0	2	1	1	3	3	0	0	0	2	5	1	2
ENSMUSG00000083729|Sh3d2c-ps1	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0
ENSMUSG00000083731|Gm16202	5	8	8	9	19	8	5	8	4	6	11	11	3	11	2
ENSMUSG00000083732|Gm14197	2	0	0	2	3	0	1	0	0	1	1	3	0	1	2
ENSMUSG00000083733|Gm13035	0	1	2	0	0	0	0	2	1	2	1	0	0	0	2
ENSMUSG00000083734|Gm16209	27	22	5	11	13	14	10	14	25	7	9	7	19	10	8
ENSMUSG00000083735|Gm12495	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
ENSMUSG00000083736|Gm6039	36	38	64	65	53	67	55	53	33	56	52	63	20	24	28
ENSMUSG00000083737|Prdx6-ps2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083738|Gm14592	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000083739|Gm13796	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000083740|Gm11456	0	0	0	0	0	1	2	2	0	2	0	0	0	0	1
ENSMUSG00000083741|Gm15297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083742|Gm11812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083743|Gm12421	3	2	0	2	1	0	0	1	0	2	2	0	0	1	0
ENSMUSG00000083744|Gm14824	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1
ENSMUSG00000083745|Gm13543	4	2	2	2	8	2	7	7	2	2	4	8	4	2	9
ENSMUSG00000083747|Gm14727	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000083748|Gm11662	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0
ENSMUSG00000083749|Gm13100	0	0	1	0	0	0	3	2	2	0	1	1	1	0	0
ENSMUSG00000083750|Gm14108	1	1	1	0	1	2	0	0	0	0	0	0	0	1	0
ENSMUSG00000083751|Gm14534	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000083752|Gm12014	3	0	5	0	0	3	0	3	0	2	1	1	0	2	0
ENSMUSG00000083753|Gm12814	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000083754|Gm7803	32	35	11	7	17	21	12	9	24	7	11	12	13	16	12
ENSMUSG00000083755|Gm14559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083756|Gm13468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083757|Rps15a-ps4	161	113	197	216	224	252	151	174	179	232	199	262	143	164	175
ENSMUSG00000083760|Gm14524	1	0	0	1	0	0	2	3	0	0	0	4	0	0	0
ENSMUSG00000083761|Pgam1-ps1	5	11	2	4	6	1	9	0	10	4	2	1	5	4	4
ENSMUSG00000083763|Gm9050	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083764|Gm11516	3	13	4	2	2	1	3	1	1	4	0	3	3	2	2
ENSMUSG00000083766|Gm15335	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083767|Gm11405	24	21	34	23	27	37	20	25	33	28	23	30	18	12	19
ENSMUSG00000083768|Gm15362	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000083769|Gm11689	4	9	1	0	1	3	3	7	0	1	3	0	3	2	3
ENSMUSG00000083771|Gm15988	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083772|Gm15566	1	3	2	0	5	0	1	8	7	1	2	0	1	2	1
ENSMUSG00000083773|Gm13394	11388	9087	9888	11568	13834	11501	10215	11009	10383	11996	9926	13879	12069	12607	12394
ENSMUSG00000083774|Gm7180	52	84	42	42	50	45	65	46	47	54	63	57	49	44	29
ENSMUSG00000083775|Gm14837	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083776|Gm13473	0	1	1	0	0	1	0	0	0	3	0	0	0	0	3
ENSMUSG00000083777|Gm13361	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1
ENSMUSG00000083778|Gm15094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083779|Gm14775	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000083780|Gm12728	9	11	3	5	4	7	1	1	5	2	4	3	4	4	2
ENSMUSG00000083781|Gm14842	1	0	0	0	2	0	0	0	0	2	1	0	0	0	0
ENSMUSG00000083782|Gm11660	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083783|Gm12739	0	2	4	0	10	0	0	0	1	0	1	0	4	1	2
ENSMUSG00000083784|Gm14729	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000083785|Gm11888	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083786|Rps18-ps2	2	1	1	0	2	0	5	0	6	0	0	1	0	5	5
ENSMUSG00000083787|Gm11644	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000083788|Gm11499	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000083789|Gm6092	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1
ENSMUSG00000083791|Gm12721	0	0	1	0	0	3	1	0	0	6	0	1	0	1	0
ENSMUSG00000083792|Rpl12-ps2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0
ENSMUSG00000083793|Gm14274	1	6	0	1	5	0	1	1	2	0	4	0	2	0	1
ENSMUSG00000083794|Gm16123	0	1	1	0	0	0	1	0	0	1	2	1	0	1	0
ENSMUSG00000083795|Gm15670	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083796|Gm13369	2	4	0	0	0	0	1	6	0	1	1	1	0	0	0
ENSMUSG00000083797|Gm13800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083798|Gm14584	385	313	446	394	500	450	394	492	362	516	526	469	300	349	328
ENSMUSG00000083801|Gm12673	0	0	0	1	0	2	1	1	0	0	0	0	2	1	0
ENSMUSG00000083803|Gm12455	4	0	7	0	4	0	5	3	1	1	3	2	0	2	1
ENSMUSG00000083804|Gm13676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083805|Gm14848	0	2	3	0	0	4	1	1	0	0	1	2	0	0	0
ENSMUSG00000083806|Gm12131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083807|Gm13466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083808|Gm3828	2	3	1	2	2	1	2	1	1	2	2	6	1	1	0
ENSMUSG00000083809|Gm15110	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083810|Gm14713	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000083811|Gm13071	11	4	7	7	10	15	5	21	3	10	17	11	6	2	2
ENSMUSG00000083812|Gm5054	0	6	0	0	1	1	1	0	0	0	1	1	3	0	2
ENSMUSG00000083813|Gm15502	87	60	60	119	125	121	100	100	108	115	101	134	123	158	138
ENSMUSG00000083814|Gm5133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083815|Gm13435	4	3	1	1	1	2	4	5	0	1	1	1	2	1	1
ENSMUSG00000083816|Gm13033	37	37	37	28	55	34	40	57	30	39	53	51	27	22	28
ENSMUSG00000083817|Gm14400	20	7	21	37	36	32	30	23	12	31	27	35	9	12	13
ENSMUSG00000083818|Gm14908	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000083819|Gm11977	28	34	21	21	17	23	27	11	16	17	23	20	13	20	13
ENSMUSG00000083820|Gm6415	8	10	11	14	14	18	4	8	20	12	8	11	6	14	5
ENSMUSG00000083821|Gm14631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083822|Hmgb1-ps5	8	3	8	4	7	15	2	13	7	7	8	6	10	6	7
ENSMUSG00000083823|Amd-ps1	3	3	1	3	2	1	0	1	1	1	0	0	0	2	2
ENSMUSG00000083825|Olfr1376-ps1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
ENSMUSG00000083826|Gm13039	2	3	0	6	2	0	8	4	4	5	3	0	1	1	1
ENSMUSG00000083827|Gm15712	6	5	17	18	24	5	13	14	3	27	11	16	8	13	12
ENSMUSG00000083828|Gm15006	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000083829|Gm2199	67	91	63	37	54	69	60	72	62	45	71	80	63	66	63
ENSMUSG00000083830|Gm8839	0	1	2	2	1	0	0	3	0	0	2	4	3	2	1
ENSMUSG00000083831|Gm14248	0	0	0	3	0	0	1	0	2	0	0	2	0	0	3
ENSMUSG00000083832|Gm13771	8	11	4	7	3	7	10	7	7	9	2	5	4	17	7
ENSMUSG00000083833|Gm13841	106	74	165	171	229	255	108	134	160	190	234	233	136	91	124
ENSMUSG00000083834|Gm12577	3	12	0	1	4	6	3	6	2	4	3	3	0	7	5
ENSMUSG00000083835|Gm11898	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083836|Ldha-ps2	82	87	53	79	124	79	79	67	61	69	45	88	73	98	66
ENSMUSG00000083837|Gm14427	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083838|Gm11957	7	6	1	3	4	1	3	4	3	5	1	0	2	3	6
ENSMUSG00000083839|Gm14765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083840|Gm15459	45434	43656	52742	45757	56611	51300	48050	49069	47606	54419	53007	61628	52885	59013	57584
ENSMUSG00000083841|Gm1947	0	1	1	0	2	0	1	1	0	0	0	1	0	0	0
ENSMUSG00000083842|Gm12485	4	0	3	2	1	2	2	3	0	3	3	2	2	1	3
ENSMUSG00000083843|Gm7071	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000083844|2210015D19Rik	434	446	456	576	660	578	471	448	380	561	397	596	480	547	490
ENSMUSG00000083845|Gm14571	2	1	1	0	0	0	0	0	2	1	0	0	0	0	0
ENSMUSG00000083846|Gm13797	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000083847|Xlr3d-ps	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0
ENSMUSG00000083848|Gm7309	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000083849|Gm13477	1	2	1	1	1	6	1	2	1	5	2	5	1	2	2
ENSMUSG00000083851|Gm12365	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000083852|Gm13007	0	0	1	0	1	1	0	2	1	0	0	0	3	3	2
ENSMUSG00000083853|Gm15696	45	56	50	56	57	57	54	57	37	61	58	48	23	59	56
ENSMUSG00000083854|Gm15118	127	110	152	169	219	176	132	122	129	176	129	148	111	127	131
ENSMUSG00000083855|Olfr1175-ps	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000083856|Gm13886	37	26	20	21	26	21	26	33	17	24	22	41	22	25	19
ENSMUSG00000083857|Gm12584	1	0	1	3	5	0	0	1	1	0	0	3	0	1	0
ENSMUSG00000083858|Gm14979	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0
ENSMUSG00000083859|Gm12003	3	7	1	0	2	2	7	11	7	5	10	20	3	1	9
ENSMUSG00000083860|Gm13313	9	13	15	8	15	15	6	12	13	19	17	17	6	9	9
ENSMUSG00000083861|Gm9599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083863|Gm13341	204	220	83	64	70	76	76	72	88	68	34	62	111	80	70
ENSMUSG00000083864|Gm13719	8	16	5	4	6	14	6	6	1	6	2	5	3	7	3
ENSMUSG00000083866|Gm13472	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
ENSMUSG00000083867|Gm12893	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1
ENSMUSG00000083868|Gm12477	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000083869|Gm12442	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ENSMUSG00000083870|Gm11761	0	2	0	0	2	0	0	3	0	0	2	1	0	3	2
ENSMUSG00000083871|Gm16479	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
