	Cry_KO_Exon_ZT_02_1	Cry_KO_Exon_ZT_06_1	Cry_KO_Exon_ZT_10_1	Cry_KO_Exon_ZT_14_1	Cry_KO_Exon_ZT_18_1	Cry_KO_Exon_ZT_22_1	Cry_KO_Exon_ZT_02_2	Cry_KO_Exon_ZT_06_2	Cry_KO_Exon_ZT_10_2	Cry_KO_Exon_ZT_14_2	Cry_KO_Exon_ZT_18_2	Cry_KO_Exon_ZT_22_2
ENSMUSG00000079084|Ccdc82	171	191	224	127	120	141	162	171	238	257	91	126
ENSMUSG00000079101|Gm2904	27	28	14	15	30	21	21	26	21	18	30	30
ENSMUSG00000079103|Tgm7	2	1	1	2	0	1	2	3	0	1	1	0
ENSMUSG00000079104|Prps1l3	1187	1242	1395	1324	1066	1150	1032	883	1471	1613	1155	1122
ENSMUSG00000079105|C7	39	21	27	58	51	108	41	42	54	41	41	23
ENSMUSG00000079108|Srp54b	126	98	69	133	95	102	75	77	67	140	91	101
ENSMUSG00000079109|Pms2	182	182	157	111	114	169	140	149	166	160	102	137
ENSMUSG00000079110|Capn3	409	363	365	304	266	304	303	328	335	446	350	282
ENSMUSG00000079111|Kdelr2	4371	4051	3912	4126	3993	3994	2648	3123	3828	5566	4239	4378
ENSMUSG00000079137|Rpl27-ps1	16	14	15	21	29	22	11	21	20	18	26	32
ENSMUSG00000079138|Gm8818	6	8	3	6	12	8	8	5	6	2	4	6
ENSMUSG00000079139|Gm4204	128	145	162	92	137	150	105	131	176	190	123	115
ENSMUSG00000079140|Gm6374	2	4	0	2	3	4	3	2	0	3	2	1
ENSMUSG00000079144|A130010J15Rik	2471	2192	3564	1611	2034	1848	2006	1703	1839	2076	2045	1833
ENSMUSG00000079164|Tlr5	103	123	58	41	61	79	80	129	67	82	64	64
ENSMUSG00000079165|Sap25	69	65	78	65	56	57	57	54	72	73	73	62
ENSMUSG00000079168|Cd209g	8	6	0	4	0	4	1	1	2	2	1	1
ENSMUSG00000079173|Zan	1	0	0	2	0	0	1	0	1	0	1	0
ENSMUSG00000079177|4930417G10Rik	4	7	6	9	8	9	5	5	12	20	16	7
ENSMUSG00000079179|1700012B15Rik	490	363	469	369	329	357	384	398	397	398	297	335
ENSMUSG00000079184|Mphosph8	491	500	555	604	405	469	295	361	582	729	400	410
ENSMUSG00000079186|Gzmc	2	2	0	3	2	0	0	0	3	1	4	2
ENSMUSG00000079197|Psme2	2280	1853	1363	1583	1853	1774	1545	1460	1820	2007	1822	1837
ENSMUSG00000079215|Zfp664	1081	1121	1277	1270	1067	1001	885	1011	1361	1514	1067	1098
ENSMUSG00000079223|Gm8778	10	3	3	9	5	6	4	8	6	4	3	1
ENSMUSG00000079224|Gm6565	6	2	3	2	1	5	1	5	2	3	2	3
ENSMUSG00000079225|Gm9531	22	39	19	42	24	33	18	12	21	35	38	33
ENSMUSG00000079227|Ccr5	319	194	206	202	278	202	161	135	214	215	188	237
ENSMUSG00000079235|Ccdc13	0	1	1	1	0	1	1	1	1	0	0	0
ENSMUSG00000079242|C730034F03Rik	76	46	34	23	47	23	73	66	42	39	37	30
ENSMUSG00000079243|Xirp1	11	6	4	29	16	23	3	1	5	18	22	21
ENSMUSG00000079244|Gm5622	1	2	0	3	2	0	0	5	2	1	0	0
ENSMUSG00000079252|Tor1aip2	4059	3738	2647	2730	2902	3230	2595	2627	2738	3473	3061	3185
ENSMUSG00000079254|Itprip	79	51	104	93	71	62	59	60	82	82	60	91
ENSMUSG00000079259|Trim71	1	2	4	2	4	6	2	5	7	7	2	4
ENSMUSG00000079260|Tmppe	348	396	313	282	319	297	365	347	432	395	293	355
ENSMUSG00000079262|Slco1a6	12	5	8	1	8	5	3	9	4	2	11	7
ENSMUSG00000079263|Gm6614	32	23	18	16	10	22	9	23	45	18	12	11
ENSMUSG00000079264|Gm11077	7	3	13	15	24	10	5	10	15	13	12	14
ENSMUSG00000079277|Hoxd3	2	46	12	14	3	20	5	7	4	19	7	2
ENSMUSG00000079283|2310009B15Rik	99	101	130	99	113	93	114	98	157	132	109	115
ENSMUSG00000079286|Gm11084	139	144	151	104	125	128	194	186	131	139	139	120
ENSMUSG00000079293|Clec7a	330	206	206	150	174	159	234	221	292	210	125	208
ENSMUSG00000079295|Klrb1-ps1	2	0	0	0	4	0	3	0	0	2	0	0
ENSMUSG00000079297|Gm2223	128	124	124	107	94	132	90	90	136	136	116	99
ENSMUSG00000079298|Klrb1b	7	3	5	2	3	7	2	4	1	6	7	1
ENSMUSG00000079304|4933413G19Rik	2	3	0	2	1	1	0	1	0	0	2	1
ENSMUSG00000079311|Gm3222	16	11	5	14	14	13	6	7	9	20	19	14
ENSMUSG00000079316|Rab9	2282	2177	1855	1256	1692	1592	1599	1574	2145	1694	1501	1607
ENSMUSG00000079317|Trappc2	151	134	135	124	135	154	134	103	171	176	129	131
ENSMUSG00000079323|Gm20661	127	89	56	66	66	55	94	103	65	70	87	116
ENSMUSG00000079334|Nat6	2575	2136	3023	3429	3013	2846	2629	2171	2908	3977	3564	2864
ENSMUSG00000079339|Gm14446	21	6	16	10	16	16	14	18	8	17	16	26
ENSMUSG00000079343|Gm5077	12	13	11	7	10	10	8	18	7	10	8	11
ENSMUSG00000079355|Ccrl1	136	92	154	142	168	126	106	154	141	132	132	151
ENSMUSG00000079356|Mettl4-ps1	2	1	4	5	0	3	0	3	2	1	3	2
ENSMUSG00000079357|Gm11100	6	1	5	9	13	6	7	4	6	6	4	10
ENSMUSG00000079360|Gm3839	358	364	226	189	170	212	369	338	354	262	238	247
ENSMUSG00000079362|Gbp6	1067	398	297	195	355	363	453	225	152	280	437	590
ENSMUSG00000079363|Gbp4	315	211	225	169	165	127	161	151	135	200	123	234
ENSMUSG00000079410|Gm2897	0	0	2	1	3	2	4	1	1	0	1	0
ENSMUSG00000079414|Gm11110	0	0	2	1	2	0	1	0	1	2	0	1
ENSMUSG00000079415|Cntf	78	55	107	46	52	23	60	42	88	79	78	58
ENSMUSG00000079418|Atg4a	507	525	456	72	110	415	93	77	74	450	411	457
ENSMUSG00000079419|Ms4a6c	95	47	70	74	95	61	58	82	81	48	66	108
ENSMUSG00000079426|Arpc4	1811	1518	1821	1825	1739	1536	1469	1680	1865	1804	1685	1769
ENSMUSG00000079427|Gm2382	444	351	373	298	307	281	323	374	471	314	271	354
ENSMUSG00000079429|Heatr7b1	68	73	83	70	110	58	67	54	68	83	84	66
ENSMUSG00000079434|Neu2	146	92	89	135	107	132	106	113	111	123	133	100
ENSMUSG00000079435|Rpl36a	2237	2181	2178	2535	2317	2148	2084	2156	2911	2397	2132	2420
ENSMUSG00000079436|Kcnj13	1	1	0	2	3	0	2	0	0	1	2	0
ENSMUSG00000079437|Tmem179b	387	367	356	316	358	305	324	350	397	381	286	374
ENSMUSG00000079442|St6galnac4	114	64	52	189	140	77	59	67	55	112	64	102
ENSMUSG00000079444|Prickle4	1793	1721	1570	1760	1890	1724	1537	1410	1737	1837	1725	1945
ENSMUSG00000079445|B3gnt7	7	0	0	1	6	1	2	2	0	1	2	5
ENSMUSG00000079450|3110007F17Rik	11	16	10	5	3	7	16	5	11	6	9	4
ENSMUSG00000079457|Gm7609	28	27	23	22	50	23	36	31	47	38	33	24
ENSMUSG00000079462|Gm15737	0	1	0	0	0	1	0	0	0	0	1	1
ENSMUSG00000079465|Col4a3	18	28	23	20	12	27	21	28	33	24	25	13
ENSMUSG00000079467|Gm14966	9	8	11	9	16	9	13	13	3	11	13	6
ENSMUSG00000079469|Pigb	204	143	141	149	137	176	147	129	143	165	164	210
ENSMUSG00000079470|Utp14b	1083	1018	366	806	948	821	448	685	532	846	760	785
ENSMUSG00000079477|Rab7	5199	4232	4395	3938	3713	3973	3877	3677	4886	4831	3746	4302
ENSMUSG00000079478|Sssca1	588	542	688	691	657	523	564	580	738	721	583	672
ENSMUSG00000079480|Pin4	270	226	260	219	240	249	188	183	261	301	253	267
ENSMUSG00000079481|Nhsl2	164	121	77	112	105	125	86	82	144	134	71	123
ENSMUSG00000079484|Phyhd1	2438	2490	1788	2077	1913	1973	2027	2304	2172	2240	1880	1917
ENSMUSG00000079487|Med12	881	921	1003	924	855	728	833	832	1085	906	705	790
ENSMUSG00000079488|Cd47	255	202	231	137	154	190	164	224	267	198	152	239
ENSMUSG00000079489|C030013D06Rik	15	25	39	22	13	21	26	15	31	25	33	29
ENSMUSG00000079491|H2-T10	134	92	65	111	74	60	116	104	90	82	70	81
ENSMUSG00000079492|Gm11127	10	6	8	10	15	10	6	12	3	4	17	15
ENSMUSG00000079494|Cml5	2224	2897	1103	1621	2925	2935	1165	918	875	1994	3541	2602
ENSMUSG00000079495|Gm11128	2322	3114	1250	1836	3277	3106	1314	1040	940	2219	3854	2815
ENSMUSG00000079497|Gm13420	3	2	0	1	3	4	0	1	0	0	4	1
ENSMUSG00000079499|6530402F18Rik	117	108	122	184	73	104	91	91	133	145	105	84
ENSMUSG00000079501|Gm5138	2	2	2	3	5	7	0	1	4	4	3	3
ENSMUSG00000079502|1700101E01Rik	0	0	3	0	1	0	3	1	3	2	0	0
ENSMUSG00000079505|Gm11131	91	97	104	76	94	82	102	83	76	84	96	77
ENSMUSG00000079507|H2-Q1	153	78	9	45	26	27	19	60	54	45	23	36
ENSMUSG00000079508|Apoo	606	526	462	443	455	516	370	377	528	509	434	460
ENSMUSG00000079509|Zfx	1385	1288	1325	818	948	885	844	957	1417	1338	940	958
ENSMUSG00000079511|Ccdc142	1021	866	1185	1077	998	907	878	783	1031	1155	1027	1046
ENSMUSG00000079514|Gm16309	291	278	586	459	439	307	231	199	629	669	360	239
ENSMUSG00000079517|Gm8787	2	0	3	0	0	3	1	2	0	2	4	0
ENSMUSG00000079523|Tmsb10	327	235	175	241	296	255	194	255	253	225	209	265
ENSMUSG00000079534|Gm5640	1	3	0	0	0	0	0	4	1	0	0	0
ENSMUSG00000079546|Gm11146	0	2	0	1	2	2	2	1	2	4	1	4
ENSMUSG00000079547|H2-DMb1	141	105	126	105	132	98	109	109	120	105	96	142
ENSMUSG00000079550|Mpp4	249	207	237	215	237	239	217	133	310	355	245	280
ENSMUSG00000079553|Kifc1	17	13	8	10	14	11	6	6	10	9	11	14
ENSMUSG00000079554|Aox3l1	6	0	0	1	0	2	0	3	0	0	1	1
ENSMUSG00000079555|Haus3	197	189	228	125	136	161	134	106	262	192	147	150
ENSMUSG00000079557|March2	2415	2322	2228	2118	1986	1884	2443	2496	2300	2413	2085	2130
ENSMUSG00000079559|Gm684	6	3	1	0	1	14	4	4	4	2	2	1
ENSMUSG00000079560|Hoxa3	51	32	49	41	31	28	57	34	46	58	41	30
ENSMUSG00000079562|Maea	1442	1243	1088	1121	1099	1070	1092	1222	1189	1349	1045	1133
ENSMUSG00000079563|Pglyrp2	5133	4644	3457	3890	4272	3368	3297	4178	4105	3926	3878	3788
ENSMUSG00000079575|Rbpsuh-rs3	28	16	23	21	24	25	23	19	34	19	21	12
ENSMUSG00000079592|C1qtnf5	87	90	51	81	93	56	51	71	91	75	67	88
ENSMUSG00000079593|Gm14597	0	0	1	1	0	1	0	0	0	1	0	3
ENSMUSG00000079605|Zbtb9	466	416	404	427	410	405	416	368	474	476	336	359
ENSMUSG00000079608|Stard6	8	7	1	2	2	3	4	5	7	6	3	8
ENSMUSG00000079610|Ankrd39	100	100	95	135	117	113	106	90	107	135	122	99
ENSMUSG00000079614|Seh1l	1641	1554	1483	1194	1150	1371	1262	1290	1768	1667	1139	1338
ENSMUSG00000079615|Hspa14	228	203	213	189	171	164	185	153	219	229	190	182
ENSMUSG00000079620|Muc4	1	0	0	0	1	23	0	0	1	0	0	0
ENSMUSG00000079625|Tm4sf19	2	1	0	0	2	0	0	0	1	0	2	0
ENSMUSG00000079641|Rpl39	2271	2171	2041	1680	1753	2106	1540	1314	2691	2374	1520	1833
ENSMUSG00000079645|Gm17193	59	42	41	20	30	37	41	59	50	43	41	26
ENSMUSG00000079652|Fam71f2	0	3	1	1	0	1	3	4	2	1	0	0
ENSMUSG00000079654|Prrt4	3	2	0	3	0	3	1	0	1	2	0	2
ENSMUSG00000079657|Rab26	22	16	16	36	24	25	29	23	18	24	16	21
ENSMUSG00000079658|Tceb1	948	827	1025	745	707	834	682	631	877	989	817	904
ENSMUSG00000079659|4930420K17Rik	2730	3012	3564	2144	2320	2333	1926	2271	2792	2990	2451	2308
ENSMUSG00000079662|Ntn3	238	234	172	296	308	277	191	222	246	316	306	235
ENSMUSG00000079669|Gm17396	9	7	6	7	8	4	9	9	6	4	7	5
ENSMUSG00000079671|2610203C22Rik	36	30	21	38	48	46	24	32	23	34	25	21
ENSMUSG00000079677|Fdx1l	517	449	474	441	495	480	387	429	587	533	444	517
ENSMUSG00000079681|Zglp1	1	1	5	5	2	1	0	3	6	9	4	3
ENSMUSG00000079685|Ulbp1	20	18	10	22	18	19	19	21	24	15	18	15
ENSMUSG00000079700|Fpr3	52	25	34	31	57	47	27	13	24	40	33	55
ENSMUSG00000079707|Tcte3	2	0	0	0	0	0	0	3	0	0	1	1
ENSMUSG00000079709|9030025P20Rik	11	13	11	10	9	10	20	17	7	10	13	16
ENSMUSG00000079710|Gm3417	9	8	10	6	5	8	10	12	7	11	8	3
ENSMUSG00000079711|Smok4a	0	1	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000079716|Map3k4	15	12	19	13	13	15	10	12	5	17	16	18
ENSMUSG00000079722|Ttll2	2	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000079733|Tmem181b-ps	59	54	49	41	79	51	36	49	48	43	54	60
ENSMUSG00000079735|Gm2792	58	56	53	45	82	54	38	53	51	49	57	67
ENSMUSG00000079737|3110001I22Rik	245	219	258	185	184	195	207	181	307	309	159	155
ENSMUSG00000079845|Xlr4a	26	10	16	1	0	0	94	1	24	17	0	5
ENSMUSG00000079852|Klra4	2	3	2	1	0	0	1	0	1	2	0	3
ENSMUSG00000079853|Klra1	4	1	0	0	3	0	2	0	2	0	2	3
ENSMUSG00000079884|Gm10698	253	241	214	183	215	250	179	178	239	272	235	232
ENSMUSG00000079889|Gm11951	24	9	13	19	39	34	23	34	16	21	30	28
ENSMUSG00000079915|Gm16073	0	2	4	0	1	0	3	0	0	1	3	1
ENSMUSG00000079941|Gm11273	176	141	168	203	278	206	185	175	187	203	246	221
ENSMUSG00000079942|Rpl28-ps3	157	129	152	186	259	184	150	177	180	161	219	229
ENSMUSG00000079962|Gm12643	3	0	0	1	5	4	4	1	4	3	2	5
ENSMUSG00000079965|Gm14853	39	21	34	32	26	25	27	29	32	29	18	26
ENSMUSG00000079988|Gm11970	4	7	5	6	6	11	7	2	4	8	5	10
ENSMUSG00000079993|Gm11799	159	145	142	105	95	115	119	145	112	93	95	79
ENSMUSG00000079998|Gm12947	4	4	2	3	6	2	0	1	1	0	2	5
ENSMUSG00000080002|Gm5566	38	41	32	43	63	58	38	37	36	46	51	59
ENSMUSG00000080006|Rps19-ps7	3	6	10	8	9	6	8	9	4	5	4	8
ENSMUSG00000080021|Gm5915	13	15	18	8	12	16	13	14	14	11	18	21
ENSMUSG00000080050|Gm14864	1	1	0	1	3	1	1	0	0	1	0	2
ENSMUSG00000080054|Rpl12-ps1	4	9	5	3	4	8	2	0	3	5	6	5
ENSMUSG00000080058|Gm11175	54	27	75	62	100	59	53	44	71	47	36	31
ENSMUSG00000080059|Rps19-ps3	35	23	38	37	37	25	27	19	34	27	20	39
ENSMUSG00000080076|Hist1h2aj	0	0	0	2	1	2	1	0	2	1	0	0
ENSMUSG00000080078|Gm15583	0	0	1	2	4	2	1	0	3	3	2	3
ENSMUSG00000080115|Mettl21b	5	6	2	15	9	5	0	2	2	11	8	5
ENSMUSG00000080186|Gm14448	2	0	0	0	1	1	0	0	2	0	0	0
ENSMUSG00000080198|Gm13573	473	387	405	363	429	496	374	388	432	436	438	473
ENSMUSG00000080205|Gm15526	5	1	4	9	7	3	4	4	4	6	7	7
ENSMUSG00000080223|Gm13768	2	2	2	0	5	1	2	0	0	2	1	4
ENSMUSG00000080237|Gm14239	26	19	24	19	26	23	31	10	37	31	25	20
ENSMUSG00000080242|Gm15487	92	87	104	81	139	88	70	80	78	108	95	134
ENSMUSG00000080254|Gm15380	1	0	1	0	0	0	0	0	0	2	0	1
ENSMUSG00000080268|Brms1	492	467	524	514	444	461	457	562	594	553	398	479
ENSMUSG00000080303|Gm12419	0	1	0	0	2	0	0	2	0	2	0	0
ENSMUSG00000080316|Ncrna00085	226	263	596	266	300	250	359	244	494	458	227	237
ENSMUSG00000080342|AC132367.1	3	5	3	3	12	5	11	16	9	13	7	8
ENSMUSG00000080352|SNORD88	7	18	14	18	20	18	20	18	26	28	12	19
ENSMUSG00000080356|Mir1247	4	4	0	1	4	1	3	5	2	1	0	2
ENSMUSG00000080364|SNORA77	56	41	36	35	55	41	36	34	49	47	53	37
ENSMUSG00000080365|SNORA79	317	262	342	324	236	243	219	293	425	359	221	335
ENSMUSG00000080370|SNORA42	16	10	4	9	8	4	3	15	12	17	12	22
ENSMUSG00000080374|AL845466.1	33	15	27	35	34	40	24	19	32	36	39	46
ENSMUSG00000080384|U6atac	9	8	5	7	1	8	2	6	3	8	4	3
ENSMUSG00000080396|Snord111	35	28	31	31	28	39	21	28	35	40	36	36
ENSMUSG00000080406|Mir1188	0	0	0	3	0	0	1	2	0	0	0	0
ENSMUSG00000080408|AC121814.1	20	10	13	12	20	8	16	13	7	8	17	23
ENSMUSG00000080410|AC084287.1	2	0	4	3	1	1	1	0	0	0	0	2
ENSMUSG00000080413|U6atac	13	8	11	7	4	5	5	1	8	7	7	6
ENSMUSG00000080416|AL646096.1	56	50	60	40	37	36	52	40	41	34	42	52
ENSMUSG00000080440|SNORA79	57	35	61	53	25	34	26	32	52	57	31	38
ENSMUSG00000080441|Mir1249	20	16	10	17	28	13	33	26	14	17	19	30
ENSMUSG00000080447|AC087898.1	0	2	1	4	6	4	0	4	2	3	0	1
ENSMUSG00000080451|AC159290.1	0	2	0	1	1	0	0	0	2	2	1	1
ENSMUSG00000080452|Mir1306	27	17	18	18	14	14	17	20	23	21	15	19
ENSMUSG00000080454|AC155262.1	7	5	13	7	19	7	3	14	14	13	9	9
ENSMUSG00000080455|AC192711.1	36	33	32	40	40	18	43	30	24	39	32	35
ENSMUSG00000080461|SNORA11	11	7	7	8	1	7	2	5	9	2	4	8
ENSMUSG00000080463|SNORD75	301	258	324	312	323	274	291	312	354	359	253	288
ENSMUSG00000080465|SNORD94	381	433	753	460	499	522	304	437	570	538	379	429
ENSMUSG00000080469|Snord98	28	27	28	14	35	28	19	20	36	33	25	28
ENSMUSG00000080473|AC024607.1	26	33	32	33	45	33	30	21	40	59	32	30
ENSMUSG00000080478|Snord23	58	75	59	74	62	58	62	62	94	71	45	48
ENSMUSG00000080485|AC129021.1	0	3	5	16	9	14	0	11	7	15	7	4
ENSMUSG00000080486|Snord100	792	672	687	701	791	777	596	613	953	718	592	738
ENSMUSG00000080518|SNORD111	33	28	27	30	29	22	18	23	35	29	23	24
ENSMUSG00000080524|U6atac	0	0	0	0	0	0	1	0	1	0	1	0
ENSMUSG00000080525|AC132471.1	0	3	2	0	0	0	2	2	0	1	2	1
ENSMUSG00000080527|AC160528.1	11	11	5	12	13	5	2	18	16	7	5	8
ENSMUSG00000080530|mmu-mir-1194	3	2	3	7	1	2	5	3	3	6	4	8
ENSMUSG00000080533|Mir1191	5	0	3	6	9	6	4	4	7	10	5	1
ENSMUSG00000080538|U6atac	45	46	92	73	87	58	65	89	59	51	86	92
ENSMUSG00000080539|U6atac	0	2	0	1	1	1	6	0	2	3	1	0
ENSMUSG00000080540|SNORA50	10	15	16	17	12	18	6	20	20	24	14	16
ENSMUSG00000080542|U4atac	28	13	23	27	34	25	13	14	10	36	32	44
ENSMUSG00000080543|AC127028.1	19	15	16	20	15	17	4	7	16	14	7	6
ENSMUSG00000080544|CPEB3_ribozyme	5	6	6	7	9	5	3	9	8	13	6	3
ENSMUSG00000080547|AL928581.1	27	38	24	14	21	17	34	34	43	30	15	22
ENSMUSG00000080573|Mir467f	0	1	2	0	0	0	1	0	0	0	0	0
ENSMUSG00000080575|Mir1190	4	3	1	6	5	2	3	6	6	3	3	7
ENSMUSG00000080582|SNORA11	5	3	2	0	3	3	2	4	7	1	2	3
ENSMUSG00000080602|AL929160.1	1	0	0	0	0	0	0	0	1	1	0	1
ENSMUSG00000080610|Snord110	17	15	23	24	13	13	10	16	42	36	15	16
ENSMUSG00000080615|Snord99	24	12	29	24	5	29	24	29	29	36	12	18
ENSMUSG00000080622|SNORA11	25	14	30	34	13	16	32	17	13	35	23	20
ENSMUSG00000080626|Mir1192	47	33	82	18	53	33	85	52	59	24	58	67
ENSMUSG00000080632|AC098726.1	44	39	58	26	36	29	41	38	38	58	25	40
ENSMUSG00000080645|Mir1198	6	14	15	9	11	9	9	16	15	14	10	20
ENSMUSG00000080662|Mir1b	58	51	49	39	41	56	40	59	60	60	55	55
ENSMUSG00000080665|Mir1199	1	0	2	0	1	1	1	0	0	1	3	0
ENSMUSG00000080681|AL627312.1	2	4	3	4	2	1	2	2	0	1	3	4
ENSMUSG00000080683|SNORD88	13	22	18	22	13	10	26	12	28	17	9	18
ENSMUSG00000080700|Gm15981	7	17	11	11	15	7	8	17	12	23	23	18
ENSMUSG00000080701|Gm12340	4	1	2	1	0	4	1	2	4	1	0	0
ENSMUSG00000080704|Gm6031	1	3	2	0	5	2	6	2	1	1	5	7
ENSMUSG00000080708|Ccnd3-ps	2	5	5	5	12	0	4	3	5	13	7	5
ENSMUSG00000080709|Gm14324	3	7	2	7	4	5	0	3	3	12	6	4
ENSMUSG00000080711|Gm11686	0	4	3	0	9	5	4	4	4	4	3	3
ENSMUSG00000080712|Hist3h2bb-ps	1	5	4	6	12	6	3	3	11	2	4	2
ENSMUSG00000080715|Gm5406	17	15	16	23	13	19	13	11	10	15	17	20
ENSMUSG00000080716|Gm13503	2	7	2	6	2	1	0	0	1	2	4	3
ENSMUSG00000080717|B230307C23Rik	69	60	64	70	56	63	50	29	74	88	74	85
ENSMUSG00000080718|Gm8019	7	6	7	3	9	7	2	3	6	8	4	1
ENSMUSG00000080720|Gm16077	1	1	0	0	1	0	0	1	0	1	0	0
ENSMUSG00000080726|Gm15366	0	1	1	4	6	3	0	5	4	2	3	1
ENSMUSG00000080727|C920021L13Rik	43	30	52	60	42	29	44	52	43	40	47	54
ENSMUSG00000080730|Gm11313	0	5	3	10	2	5	5	6	2	3	7	4
ENSMUSG00000080731|Rps2-ps9	3	4	5	4	7	2	2	7	5	5	10	4
ENSMUSG00000080732|Gm13222	1	0	2	4	7	3	0	3	1	2	2	0
ENSMUSG00000080738|Mup-ps22	2	3	2	2	5	9	0	3	3	5	12	4
ENSMUSG00000080740|Gm15013	52	57	81	55	112	78	44	50	56	43	91	99
ENSMUSG00000080741|Gm11398	9	5	6	7	7	7	3	6	6	5	13	6
ENSMUSG00000080746|Rpsa-ps12	50	29	60	40	81	60	36	31	37	31	47	65
ENSMUSG00000080747|Gm14016	1	0	1	0	0	0	1	1	0	2	0	0
ENSMUSG00000080758|Gm5392	0	1	1	4	0	1	0	3	0	0	1	1
ENSMUSG00000080759|Gm15573	3	1	2	0	2	4	1	0	0	1	0	2
ENSMUSG00000080763|Gm12341	2	3	4	4	5	4	3	3	0	3	2	3
ENSMUSG00000080768|Gm12219	4	9	6	10	15	16	8	9	12	9	11	5
ENSMUSG00000080772|Gm12543	41	32	39	19	28	35	23	36	59	41	27	23
ENSMUSG00000080773|Gm12955	8	10	1	2	5	6	2	9	4	5	11	5
ENSMUSG00000080774|Gm9143	11	9	9	19	17	14	28	20	16	10	20	12
ENSMUSG00000080775|Gm6368	73	60	73	114	196	83	50	46	60	121	151	96
ENSMUSG00000080776|Gm12174	127	106	129	110	167	156	102	116	144	98	136	155
ENSMUSG00000080777|Gm15365	2	1	6	0	9	3	0	4	2	3	3	5
ENSMUSG00000080779|Gm8731	3	4	4	7	5	3	1	0	4	4	1	2
ENSMUSG00000080783|Gm8250	8	2	2	4	1	4	6	4	1	8	4	3
ENSMUSG00000080788|Gm7841	8	7	14	13	13	15	11	11	12	7	15	16
ENSMUSG00000080790|Gm7638	0	0	1	0	4	3	1	0	0	0	2	2
ENSMUSG00000080791|Gm11442	2	1	0	2	0	1	1	1	1	1	1	2
ENSMUSG00000080793|Cbx3-ps3	2	3	8	1	2	6	9	1	2	4	4	5
ENSMUSG00000080795|Gm6783	2	3	3	2	2	5	4	6	5	1	6	4
ENSMUSG00000080797|Gm15760	3	2	0	1	7	4	0	0	0	0	1	4
ENSMUSG00000080800|Gm11582	3	0	4	8	4	3	1	0	3	6	4	8
ENSMUSG00000080801|Gm13310	8	5	9	17	8	12	7	5	12	15	11	11
ENSMUSG00000080810|Gm11737	80	62	87	56	56	43	53	56	49	64	49	46
ENSMUSG00000080811|Gm14513	7	10	10	7	11	5	6	8	5	7	7	8
ENSMUSG00000080813|Gm14828	4	3	5	9	5	2	5	4	1	3	6	7
ENSMUSG00000080814|Gm12314	1	0	0	0	2	0	3	0	0	1	0	3
ENSMUSG00000080816|Gm12447	0	0	0	0	0	0	1	3	1	1	0	0
ENSMUSG00000080818|Gm9434	5	5	5	4	6	4	8	4	4	9	3	4
ENSMUSG00000080823|Gm11477	31	19	21	30	17	18	19	35	24	22	29	21
ENSMUSG00000080824|Gm9001	7	12	1	3	10	5	5	3	5	7	5	5
ENSMUSG00000080829|Gm8545	0	0	2	0	0	1	1	3	2	1	4	4
ENSMUSG00000080831|Gm12529	1	3	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000080832|M6pr-ps	45	32	33	42	82	68	37	33	48	47	48	70
ENSMUSG00000080836|Gm6444	45	37	66	61	78	62	41	52	54	49	65	73
ENSMUSG00000080839|Gm11625	34	23	31	38	69	55	32	30	30	32	60	68
ENSMUSG00000080840|Gm11349	4	3	5	5	14	10	2	3	4	8	11	5
ENSMUSG00000080844|Gm14107	1	1	5	2	2	1	0	1	2	4	3	7
ENSMUSG00000080845|Gm9115	23	21	29	31	45	31	6	5	12	28	29	36
ENSMUSG00000080846|Gm13379	0	1	0	3	3	1	0	1	0	0	1	1
ENSMUSG00000080847|Gm4773	4	1	2	2	2	4	3	0	6	0	3	0
ENSMUSG00000080848|Gm9385	363	282	377	422	411	374	284	343	401	370	367	409
ENSMUSG00000080851|Gm12094	2	2	3	1	3	1	1	3	2	7	4	1
ENSMUSG00000080855|Rpl35-ps1	0	1	1	0	0	1	0	0	2	2	1	0
ENSMUSG00000080857|Gm12859	5	3	3	0	3	3	1	1	2	3	1	2
ENSMUSG00000080860|Gm13815	1	0	0	1	1	0	0	2	2	0	0	0
ENSMUSG00000080862|Gm14523	24	9	11	18	21	14	12	20	10	12	15	18
ENSMUSG00000080866|Gm5687	4	1	6	1	3	6	1	1	6	0	0	2
ENSMUSG00000080869|Gm11856	1	2	8	8	1	0	0	6	2	2	3	3
ENSMUSG00000080870|Gm14111	11	7	4	4	8	8	1	5	3	4	8	5
ENSMUSG00000080873|Rpl30-ps3	9	6	1	6	11	4	6	9	7	7	10	10
ENSMUSG00000080875|Gm7332	18	29	24	53	52	29	19	22	43	37	40	32
ENSMUSG00000080877|Rpl22-ps1	95	54	101	75	81	94	55	69	71	83	80	75
ENSMUSG00000080885|Rpl10-ps6	194	164	121	135	198	171	79	87	88	81	107	200
ENSMUSG00000080888|Gm14387	1	2	4	9	5	8	3	1	7	4	4	9
ENSMUSG00000080892|Gm9266	1	0	1	0	3	1	0	0	2	1	1	0
ENSMUSG00000080893|Gm15920	79	59	62	97	96	81	54	33	69	81	78	69
ENSMUSG00000080896|Gm14567	31	22	16	12	15	14	24	16	22	21	22	8
