ovary_CV1	ovary_CV2	ovary_CV3	ovary_CV4	ovary_GF1	ovary_GF2	ovary_GF3	ovary_GF4	ovary_GF5	testis_CV1	testis_CV2	testis_CV3	testis_CV4	testis_GF1	testis_GF2	testis_GF3
ENSMUSG00000082982|Olfr1149-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082983|Gm12318	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000082985|Gm14042	0	0	0	0	0	1	0	0	2	1	3	0	2	1	2	0
ENSMUSG00000082986|Gm11389	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000082987|Rps13-ps6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082988|Gm5903	139	91	105	102	138	121	87	106	106	193	145	183	187	170	205	163
ENSMUSG00000082989|Gm13557	2	3	2	1	1	1	0	4	6	40	22	41	35	25	16	22
ENSMUSG00000082990|Gm14052	3	0	1	1	0	5	0	0	1	0	0	0	0	1	0	0
ENSMUSG00000082991|Rps10-ps3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082993|Gm11566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082994|Gm11848	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000082995|Gm15126	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000082996|Gm6238	28	30	27	15	31	30	28	25	35	11	4	3	6	1	2	4
ENSMUSG00000082997|Gm13975	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000082998|Gm11221	48	41	55	41	41	60	40	44	43	116	114	119	129	98	106	117
ENSMUSG00000083000|Gm15678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083001|Gm13250	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000083004|Gm13413	0	0	0	2	1	2	1	4	1	0	1	0	1	0	0	1
ENSMUSG00000083005|Gm12392	0	0	0	0	0	0	0	0	0	2	2	2	0	5	1	1
ENSMUSG00000083006|Gm15715	1	0	1	0	0	1	0	0	0	2	0	1	3	3	1	2
ENSMUSG00000083007|Gm13623	0	0	0	0	1	0	1	1	3	7	3	1	4	3	9	7
ENSMUSG00000083008|Gm12053	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083009|Gm1335	0	1	0	0	0	0	0	0	0	1	1	1	2	2	1	0
ENSMUSG00000083010|Gm14687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083011|Gm12816	5	11	8	6	14	9	7	5	10	2	2	1	3	0	2	3
ENSMUSG00000083012|2810453I06Rik	425	334	382	368	467	333	388	432	361	4677	4813	5052	4909	4870	5553	5479
ENSMUSG00000083013|Gm12978	13	7	11	11	8	12	15	3	8	9	17	11	13	12	8	10
ENSMUSG00000083014|Gm11764	3	2	4	3	1	0	1	1	2	1	1	0	0	1	0	0
ENSMUSG00000083015|Gm16518	1	1	0	0	1	0	0	3	0	10	12	25	15	5	5	20
ENSMUSG00000083016|Gm11703	1	0	0	0	1	0	0	0	1	3	0	0	1	1	0	0
ENSMUSG00000083017|Gm12163	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083018|Gm13555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083019|Gm6222	21	17	8	13	11	19	7	12	17	0	2	0	0	0	0	1
ENSMUSG00000083020|Gm15331	0	0	0	2	0	0	0	0	0	3	2	0	0	1	1	0
ENSMUSG00000083022|Rps15a-ps6	121	109	93	96	124	93	113	85	122	78	80	95	90	82	71	77
ENSMUSG00000083023|Gm11804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083024|Gm14982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083025|Gm11829	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083026|Gm6373	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
ENSMUSG00000083027|Gm13140	35	54	53	40	66	62	60	41	51	128	125	107	135	121	140	137
ENSMUSG00000083028|Gm14604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083029|Gm13720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083030|Gm14561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083031|Gm14910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083032|Gm8087	2	0	1	1	4	4	6	1	0	1	2	7	3	5	2	4
ENSMUSG00000083033|Gm9083	7	8	11	4	6	9	4	6	6	3	1	2	1	3	2	1
ENSMUSG00000083034|Olfr334-ps1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083036|Gm15959	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
ENSMUSG00000083037|Gm14900	0	0	0	0	0	1	0	1	4	16	19	6	26	11	18	20
ENSMUSG00000083038|Gm13233	19	36	26	18	30	39	35	25	25	36	23	18	36	24	18	14
ENSMUSG00000083039|Gm11606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083041|Gm9835	17	14	9	5	7	8	10	9	21	17	12	18	18	21	22	27
ENSMUSG00000083042|Gm11388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083043|Gm13433	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ENSMUSG00000083044|Gm12416	2	3	2	1	3	2	1	4	1	0	1	0	0	0	0	1
ENSMUSG00000083045|Gm16100	16	22	26	17	25	17	17	16	19	3	2	4	6	5	1	2
ENSMUSG00000083046|Gm14699	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083047|Gm14082	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083049|Gm14822	17	13	13	11	11	14	19	16	11	40	46	45	36	42	48	44
ENSMUSG00000083050|Gm11242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083052|Gm12285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083053|Gm15001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083054|Gm12986	1	0	0	0	1	0	0	0	0	20	15	14	13	12	16	8
ENSMUSG00000083055|Gm14140	1	0	1	1	2	0	4	0	0	0	1	0	3	1	0	4
ENSMUSG00000083057|Gm13356	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000083058|Gm14795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083059|Olfr268-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000083060|Gm14533	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1
ENSMUSG00000083061|Gm12191	389	404	340	339	477	375	355	355	416	323	329	289	304	323	315	341
ENSMUSG00000083062|Gm14980	0	0	0	0	0	0	2	2	0	1	0	1	0	0	1	0
ENSMUSG00000083063|Gm14882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083064|Gm7785	38	16	28	27	33	28	24	22	21	70	53	79	53	47	50	39
ENSMUSG00000083065|Gm13195	3	0	2	1	5	1	3	5	1	1	3	1	0	0	1	0
ENSMUSG00000083066|Gm12748	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083067|Gm14751	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000083068|Gm11800	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
ENSMUSG00000083069|Gm16431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083070|Gm13350	32	23	28	24	24	14	24	26	33	7	7	11	10	18	11	9
ENSMUSG00000083072|Gm13668	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000083073|Gm11845	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1
ENSMUSG00000083074|Gm14670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083075|Gm11980	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083076|Gm11408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083077|Gm14126	2	2	1	4	1	2	0	2	0	2	0	0	0	3	0	0
ENSMUSG00000083078|Gm13172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083079|Amy2b	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083080|Gm11484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083081|Gm13223	1	5	0	6	6	4	3	2	3	3	3	2	1	7	4	4
ENSMUSG00000083083|Gm15382	5	11	14	6	10	2	13	14	6	0	1	0	0	0	1	1
ENSMUSG00000083084|Gm14667	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083085|Gm12765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083086|Gm15531	0	0	0	0	3	1	1	0	1	0	2	0	0	2	0	0
ENSMUSG00000083087|Gm11249	6	11	12	11	14	13	6	14	11	3	3	1	6	5	6	5
ENSMUSG00000083088|Gm14153	0	0	0	0	0	0	0	0	0	4	1	0	1	0	1	7
ENSMUSG00000083089|Gm4760	0	1	0	0	1	0	0	0	0	1	4	3	1	2	3	2
ENSMUSG00000083090|Gm11736	0	0	1	0	0	0	1	0	1	0	2	0	2	0	0	1
ENSMUSG00000083091|Gm12438	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
ENSMUSG00000083093|Gm15385	1	0	2	3	5	2	3	1	3	1	2	0	0	0	2	1
ENSMUSG00000083094|Gm4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083095|Gm11863	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000083096|Gm11356	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0
ENSMUSG00000083097|Gm14494	308	237	230	233	293	234	250	250	238	297	302	334	286	310	283	313
ENSMUSG00000083098|Gm14578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083099|Gm4732	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083100|Gm6044	33	25	18	19	25	24	21	27	27	104	128	147	107	132	118	136
ENSMUSG00000083101|Gm13430	0	0	6	1	4	0	1	1	4	6	6	2	2	2	1	4
ENSMUSG00000083103|Gm6429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083104|Gm12917	61	53	46	51	65	54	67	43	67	70	70	71	83	59	67	65
ENSMUSG00000083105|Gm12393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083106|Gm15309	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083107|Gm5303	2	0	2	0	0	4	2	0	2	1	2	1	2	4	1	2
ENSMUSG00000083109|Gm12876	0	0	0	0	0	1	0	0	0	3	2	0	0	2	3	0
ENSMUSG00000083110|Gm14073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083111|Gm14421	10	14	20	10	7	5	7	22	17	6	2	6	2	1	1	2
ENSMUSG00000083112|Gm14620	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000083113|Rpl10-ps4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083114|Gm14790	1	0	0	0	2	1	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000083115|Gm13386	0	0	0	1	0	1	0	0	1	1	1	4	0	0	4	1
ENSMUSG00000083116|Gm13410	41	38	26	9	23	29	23	38	42	11	8	22	13	17	9	14
ENSMUSG00000083117|Gm15171	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083118|Gm11609	0	0	0	0	0	0	0	1	1	0	2	1	3	1	1	5
ENSMUSG00000083119|Gm14724	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083120|Gm15854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083121|Gm6341	6	2	4	4	4	11	4	5	5	1	0	1	5	5	2	2
ENSMUSG00000083122|Gm15578	4	15	4	6	2	9	12	1	6	1	5	5	3	0	4	0
ENSMUSG00000083123|Gm6826	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000083124|Vmn1r-ps126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083125|Gm16203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083126|Gm14109	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083127|Gm15189	0	0	0	0	0	0	1	0	0	0	0	4	1	0	2	1
ENSMUSG00000083128|Gm12723	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083129|Gm12210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083130|Gm14560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083132|Gm14422	7	7	4	5	7	5	13	4	3	6	4	5	5	6	9	2
ENSMUSG00000083133|Gm14844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083135|Gm11504	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
ENSMUSG00000083136|Gm15170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083137|Gm11792	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083138|Cyp4a29-ps	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ENSMUSG00000083139|Gm12418	53	32	43	45	70	38	60	62	59	73	57	69	56	58	67	74
ENSMUSG00000083140|Gm5073	0	0	0	0	0	0	0	0	0	36	39	51	42	26	35	59
ENSMUSG00000083141|Gm15752	8	12	9	13	15	8	9	10	0	0	0	0	1	0	0	0
ENSMUSG00000083142|Gm12288	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
ENSMUSG00000083143|Gm13424	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083144|Gm14334	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000083145|Gm12579	0	1	1	0	0	0	0	0	1	2	1	1	1	0	1	2
ENSMUSG00000083147|Olfr1103-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083149|Gm11380	0	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0
ENSMUSG00000083150|Gm11852	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
ENSMUSG00000083151|Gm4913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083152|Apc-ps1	69	64	70	64	80	58	55	83	73	33	30	33	23	24	30	40
ENSMUSG00000083153|Gm12459	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000083154|Gm11892	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083155|Gm11866	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083156|Gm12201	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	2
ENSMUSG00000083157|Gm13511	27	24	20	26	29	36	39	36	43	41	36	51	36	33	45	24
ENSMUSG00000083158|Gm14655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083159|Gm12180	2	0	3	2	1	2	1	2	1	2	0	3	6	0	2	1
ENSMUSG00000083160|Gm15967	2	4	4	0	2	4	3	5	2	1	0	3	3	4	4	3
ENSMUSG00000083161|Gm11427	7	2	6	8	6	5	8	2	10	0	1	0	0	0	2	1
ENSMUSG00000083162|Gm4917	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000083163|Gm11429	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083165|Gm11344	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083166|Gm8648	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000083167|Vmn1r-ps97	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083168|Gm14201	0	0	0	0	0	0	0	0	2	0	3	2	6	1	5	6
ENSMUSG00000083169|Gm6580	9	9	3	8	4	3	8	12	3	13	12	17	13	12	7	19
ENSMUSG00000083170|Gm14405	0	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0
ENSMUSG00000083171|Gm12321	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083172|Gm13409	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083173|Gm13064	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083174|Gm7190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083175|Gm12206	0	0	0	0	1	0	0	0	0	156	168	189	159	109	156	158
ENSMUSG00000083176|D11Bhm181e	0	8	2	4	6	6	8	4	7	3	4	0	4	2	1	2
ENSMUSG00000083177|Gm7820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083178|Gm12187	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083179|Gm12693	60	63	47	59	57	76	52	45	54	111	118	118	113	99	109	116
ENSMUSG00000083180|Gm15007	0	0	0	0	0	0	0	0	0	5	2	1	2	2	0	0
ENSMUSG00000083181|Gm13903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083182|Gm13828	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	3
ENSMUSG00000083183|Gm15575	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000083184|Gm14969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083185|Olfr1146-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083186|Gm11805	2	2	7	6	9	10	6	9	9	6	2	3	4	5	7	7
ENSMUSG00000083188|Olfr404-ps1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0
ENSMUSG00000083190|Gm12836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083191|Gm15571	5	2	0	1	2	3	0	1	1	2	1	2	2	1	2	0
ENSMUSG00000083192|Rpl31-ps12	9	12	18	7	19	15	23	9	13	202	214	240	220	222	215	204
ENSMUSG00000083193|4930595D18Rik	1	0	0	0	1	0	2	1	0	50	48	65	49	73	78	75
ENSMUSG00000083195|Gm13567	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083196|Gm15272	9	7	15	16	10	5	13	9	12	4	4	3	1	0	0	0
ENSMUSG00000083197|Gm13581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083199|Gm9432	1	1	4	4	3	3	2	0	1	2	0	1	1	0	0	0
ENSMUSG00000083200|Gm15066	0	1	0	0	0	0	1	0	1	7	10	11	11	11	13	8
ENSMUSG00000083201|Gm12080	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000083202|Gm12388	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083203|Gm11421	0	0	0	0	1	0	0	0	0	5	1	1	1	0	2	2
ENSMUSG00000083204|Gm13788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083205|Gm7821	0	0	0	0	0	0	0	0	0	6	5	4	6	8	3	15
ENSMUSG00000083206|Gm11338	1	2	1	0	0	0	0	0	0	1	1	0	2	0	0	1
ENSMUSG00000083207|Gm14780	2	0	2	0	0	1	1	0	1	2	1	0	1	0	1	1
ENSMUSG00000083208|Gm11522	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083209|Gm11969	40	43	31	35	30	33	38	27	29	30	42	49	44	40	40	48
ENSMUSG00000083210|Gm14869	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000083211|Gm13737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083212|Gm12274	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000083213|Gm14875	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083214|Gm11912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083215|Gm14081	0	0	1	1	0	1	1	1	0	0	0	2	0	2	0	0
ENSMUSG00000083216|Hbb-bh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083218|Gm16425	7	8	5	6	3	8	1	4	14	713	739	694	875	1070	1165	1247
ENSMUSG00000083219|Gm11410	0	4	0	0	0	3	0	2	1	0	2	0	0	1	0	0
ENSMUSG00000083220|Gm12919	1	4	3	3	0	4	2	0	3	24	28	26	20	12	24	20
ENSMUSG00000083221|Gm14528	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
ENSMUSG00000083222|Gm12427	2	2	1	4	8	5	3	3	2	0	0	0	0	1	0	2
ENSMUSG00000083223|Gm15016	4	13	0	4	0	9	7	3	8	0	1	0	0	0	2	0
ENSMUSG00000083224|Gm11255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083225|Gm15215	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083226|Gm7831	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
ENSMUSG00000083227|Gm11546	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
ENSMUSG00000083228|Gm11779	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083229|Gm11862	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ENSMUSG00000083230|Gm14158	3	13	13	5	7	4	9	6	3	2	1	1	3	0	1	6
ENSMUSG00000083231|Gm15096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083232|Gm11796	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083233|Gm13406	1	0	2	1	0	0	0	0	0	1	0	2	0	1	3	0
ENSMUSG00000083234|Gm12262	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ENSMUSG00000083235|Gm13246	2	0	5	0	0	1	0	1	0	7	4	3	10	5	10	8
ENSMUSG00000083236|Gm7222	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000083237|Gm11698	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083238|Hspe1-ps4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083239|Mup-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083240|Gm13453	19	17	20	17	31	22	17	26	10	47	51	65	51	34	49	39
ENSMUSG00000083241|Gm13259	0	0	1	0	2	0	4	0	0	0	0	2	6	0	1	2
ENSMUSG00000083242|Gm15659	0	1	0	0	1	0	0	0	0	4	7	12	13	9	10	2
ENSMUSG00000083243|Gm14668	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083244|Gm15180	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1
ENSMUSG00000083245|Gm11185	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0
ENSMUSG00000083246|Gm11839	34	40	30	36	33	47	27	35	38	8	6	4	5	9	5	9
ENSMUSG00000083248|Gm6574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083249|Gm14623	0	0	0	0	0	0	0	0	0	19	10	11	5	3	6	18
ENSMUSG00000083250|Gm5403	33	18	22	10	22	6	17	24	15	2	2	0	0	0	2	2
ENSMUSG00000083251|Gm15300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083252|Gm13210	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083253|Gm7108	1	2	3	2	0	4	1	2	2	0	0	1	2	0	0	1
ENSMUSG00000083254|Gm15116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083255|Gm12738	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000083256|Kars-ps1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000083257|Gm15568	1	0	0	0	0	0	0	5	0	2	2	0	0	1	1	1
ENSMUSG00000083258|Gm5939	18	9	21	14	17	7	14	10	13	31	39	25	37	31	35	34
ENSMUSG00000083260|Gm13460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083261|Gm7816	132	114	93	102	127	115	100	117	128	148	150	152	166	194	165	184
ENSMUSG00000083262|Gm14470	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000083263|Gm14874	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083264|Gm11461	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000083266|Gm12572	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083267|Olfr1127-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083268|Gm11511	13	9	13	11	15	20	20	19	25	7	2	12	9	2	2	4
ENSMUSG00000083269|Gm13254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083270|Gm13498	1	2	1	1	3	1	0	0	0	0	0	0	1	1	0	0
ENSMUSG00000083271|Gm12384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083272|Gm12550	0	0	0	0	0	1	0	0	0	4	3	2	3	1	5	7
ENSMUSG00000083274|Gm14080	10	8	7	15	3	7	8	6	3	35	31	42	49	46	41	42
ENSMUSG00000083275|Gm4993	0	0	0	0	0	1	0	1	0	1	0	0	3	0	2	7
ENSMUSG00000083276|Gm13551	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083277|Gm15376	40	55	51	62	46	29	43	40	55	21	19	21	14	11	22	27
ENSMUSG00000083278|Gm14589	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000083279|Gm13638	0	2	0	3	0	0	0	1	0	5	5	0	7	2	6	2
ENSMUSG00000083280|Gm11838	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0
ENSMUSG00000083281|Gm13332	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0
ENSMUSG00000083282|Ctsf	1061	727	755	780	1278	790	910	1096	1271	374	415	357	438	380	400	344
ENSMUSG00000083283|Gm15361	42	51	35	50	51	44	39	36	36	140	151	137	173	144	139	144
ENSMUSG00000083284|Gm13688	3	2	1	5	1	0	3	2	1	3	9	1	6	2	6	3
ENSMUSG00000083285|Gm15815	1	0	2	0	0	1	2	0	1	4	0	4	1	3	1	5
ENSMUSG00000083287|Gm13502	80	43	36	24	90	32	38	54	39	152	112	161	128	111	136	125
